contract_id,pdf_key,contract_name,project_name,sector,_subsector,contract_type,party,party_type,contract_date
8481,5/3a007ca4dad005a32626ca79d55c09b0/main.pdf,Ashoka Gvr Mudhol Nipani Roads Ltd Road Concession Agreement ,Ashoka Gvr Mudhol Nipani Roads Ltd Road Concession Agreement,Road,Rest Stops,Concession Agreement,The Governor of Karnataka,Concessioning Authority,2014-03-14
6948,5/2ecf4b6733b9deecdaf66d9da41f1018/main.pdf,Avenal Amendment 2,Avenal,Power and Renewables,Energy Storage,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2009-12-23
6583,5/8911dff7991cdcbdad4b0ecadf8270fb/main.pdf,Shamrock Utilities Cedar Flat Amendment 3,Shamrock Utilities Cedar Flat,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2001-07-30
7145,5/144fcf956926569b2ea8d669a6976f2a/94263.pdf,X-nth Amendment 1,X-nth,Power and Renewables,Solar,Energy Services Agreement,San Diego Gas and Electric Company,Service Provider,2004-02-12
7363,5/34163d3cd446553369c7f8b67324099c/44954.pdf,Long Island Generating Facilities Offtake Agreement,Long Island Generating Facilities,Power and Renewables,Nuclear,Power Purchase Agreement,"National Grid Electric Services, LLC.",Member of Consortium,2012-10-09
6958,5/8735ea0105f3faf5be601e74e9bda200/main.pdf,CTVPower Offtake Agreement,CTVPower,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,13 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,1985-04-11
8768,5/65e2aeabcb6b23523183860e3d7da284/main.pdf,The People Of Kongba District Ed Liberia Timber Private Use Permit ,The People Of Kongba District Ed Liberia Timber Private Use Permit,Timber,Teak,Private Use Permit,"People of Kongba District, Gbarpolu County",Owner,2011-10-06
8709,5/6f5a826c1cf498771d96a3537431d281/main.pdf,China-Union (Hong Kong) Mining Co Liberia Metals Concession ,China-Union (Hong Kong) Mining Co Liberia Metals Concession,Metals,Copper,Mineral Development Agreement,"China-Union (Hong Kong) Mining Co., Ltd.",Concessionaire,2009-01-18
6934,5/fa694dc519cf9c680dcceb69decf3f30/main.pdf,SGE Site 1 Offtake Agreement,SGE Site 1,Power and Renewables,Nuclear,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2009-12-24
6913,5/a5baf2a406d1aeaf13972b9e2c0c3c21/main.pdf,Thermal Energy Dev Corp Amendment 6,Thermal Energy Dev Corp,Power and Renewables,Diesel-Fired Power Plant,Amendment (Project),PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,1988-05-31
7134,5/1372ac7438921288c8773471c257d1d8/56041.pdf,PacifiCorp Power and SeaWest Offtake Agreement,PacifiCorp Power and SeaWest,Power and Renewables,Solar,Power Purchase Agreement,"PacifiCorp Power Marketing, Inc.",Seller,2002-10-31
8183,5/4d05d2b8a258e57a36ac016a91cde7d0/main.pdf,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement ,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement,Midstream,Pipeline,International Leasing Agreement,SOCIEDAD PORTUARIA EL CAYAO S.A.,Lessee,2014-10-31
6917,5/49a0da5d69d42bb198d61cc984f17623/main.pdf,Enerparc CA1 Offtake Agreement,Enerparc CA1,Power and Renewables,Petroleum Coke-Fired Power Plant,Power Purchase Agreement,San Benito Smart Park LLC,Seller,2012-03-30
8682,5/9c2f26b49b9eb4e2089cecb6e1b99714/main.pdf,Nigeria Hydropower Concession ,Nigeria Hydropower Concession,Hydropower,Ocean Current,Concession Agreement,Mainstream Energy Solutions Limited,Concessionaire,2013-02-21
8507,5/7594585b51bfbd9ee32954c135a3842c/main.pdf,Bijapur Hungund Tollway Private Limited India Road Concession Agreement ,Bijapur Hungund Tollway Private Limited India Road Concession Agreement,Road,Rest Stops,Concession Agreement,Punj Lloyd Ltd Consortium,Bidding Agent,2009-09-07
6724,5/585b99d3f3822afd298334e76cea9568/main.pdf,Humboldt Bay MWD Amendment 4,Humboldt Bay MWD,Power and Renewables,Wind,Amendment (Project),HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,1987-09-08
8768,5/65e2aeabcb6b23523183860e3d7da284/main.pdf,The People Of Kongba District Ed Liberia Timber Private Use Permit ,The People Of Kongba District Ed Liberia Timber Private Use Permit,Timber,Logging,Private Use Permit,Forestry Development Authority,Authority,2011-10-06
6791,5/6db0e530a8f6cbdd412361fa62d11b62/main.pdf,SPI Sonora Offtake Agreement,SPI Sonora,Power and Renewables,Wind,Interconnection Agreement ,"SIERRA PACIFIC INDUSTRIES, INC.",Customer,2017-07-14
8404,5/851b9dc3c413db74579c5adc5b4e9d1b/main.pdf,Xtra Gold Mining Limited Ghana Metals Concession ,Xtra Gold Mining Limited Ghana Metals Concession,Metals,Nickel,Mining Contract,Xtra Gold Mining Limited,Company,2011-01-06
6829,5/0c0f683c44da7e57e1d95ea1274eb9f0/main.pdf,Naturener Rim Rock Amendment 2,Naturener Rim Rock,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,NATURENER RIM ROCK WIND ENERGY LLC,Seller,2009-05-04
7304,5/22071b7313d9b80ce14d4c2f3a0f4221/92223.PDF,New Brunswick Board of Education Energy Offtake Agreement,New Brunswick Board of Education Energy,Power and Renewables,Cogen,Extension Agreement,"GSPP Oynx New Brunswick, LLC",Owner,2019-08-03
8694,5/348b99f0d798b5cd33e6b231de878c33/main.pdf,Offshore Mw Llc United States Wind Lease Agreement ,Offshore Mw Llc United States Wind Lease Agreement,Wind,Onshore Wind,Lease Agreement,Offshore MW LLC,Lessor,2015-03-31
7176,5/9411221572a67bc88f7f04af15572d76/main.pdf,Avangrid Renewables LLC (Phoenix West) Amendment 1,Avangrid Renewables LLC (Phoenix West),Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,"PPM Energy, Inc",Seller,2002-10-30
8742,5/07ff329c2279685f8bcb980570878f36/main.pdf,Tiehnpo District River Gee County Eda Liberia Timber Private Use Permit ,Tiehnpo District River Gee County Eda Liberia Timber Private Use Permit,Timber,Logging,Private Use Permit,Forestry Development Authority,Government,2010-08-30
6909,5/fbfd82f2c04c4b3152d1dc9c3e8494bb/89132.pdf,Thermal Energy Dev Corp Amendment 3,Thermal Energy Dev Corp,Power and Renewables,Wind,Power Purchase Agreement,"Thermal Energy Development Partnership, LP",Seller,2011-09-21
6711,5/d18316edea08ef4d340eb095ef6f37e5/main.pdf,Mustang Hills Amendment 1,Mustang Hills,Power and Renewables,Nuclear,Amendment (Project),"Alta Wind IV, LLC.",Seller,2011-04-05
4362,5/1b9d9a8e954d1c5ae37ac130e3ace7c7/main.pdf,I-95 HOV/HOT Lanes Project Project Agreement,I-95 HOV/HOT Lanes Project,Road,Rest Stops,Comprehensive Agreement,95 Express Lanes LLC,Concessionaire,2012-07-30
7033,5/26f44fa0c7d2916938fc0be80da3050f/main.pdf,Innovative Cold Storage Enterprises (ICE) Amendment 1,Innovative Cold Storage Enterprises (ICE),Power and Renewables,Energy Storage,Power Purchase Agreement,San Diego Gas & Electric Company ,Buyer,2008-12-08
7145,5/144fcf956926569b2ea8d669a6976f2a/94263.pdf,X-nth Amendment 1,X-nth,Power and Renewables,Diesel-Fired Power Plant,Energy Services Agreement,"Green Sand Investments, LLC",Customer,2004-02-12
7137,5/4ccb93d4aae53938d584a4a1254f105d/78076.pdf,Hunter Industries Amendment 1,Hunter Industries,Power and Renewables,Thermal,Energy Services Agreement,"Hunter Industries, Inc.",Customer,2007-05-22
8760,5/6bc47853521a2dc9ebe3cb9371314cc6/main.pdf,The People Of Foya District Fd Liberia Timber Private Use Permit ,The People Of Foya District Fd Liberia Timber Private Use Permit,Timber,Plantation,Private Use Permit,"People of Foya Adminstrative District, Gbarpolu County",Owner,2011-12-18
7363,5/34163d3cd446553369c7f8b67324099c/44954.pdf,Long Island Generating Facilities Offtake Agreement,Long Island Generating Facilities,Power and Renewables,Wind,Power Purchase Agreement,KeySpan Generation LLC.,Member of Consortium,2012-10-09
8183,5/4d05d2b8a258e57a36ac016a91cde7d0/main.pdf,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement ,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement,Midstream,FPSO,International Leasing Agreement,Termocandelaria S.C.,Thermal Generator,2014-10-31
7232,5/1dbb23c14994a5429850fdc76fbc9bee/29018.pdf,Collins Pine Amendment 1,Collins Pine,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2011-10-18
9074,5/a3675cee66e4099514c6fceee63f4fb0/main.pdf,United States Road Concession ,United States Road Concession,Road,Rest Stops,Management Contract,National Australia Bank Limited,Interest Rate Hedge Provider,2009-01-22
6768,5/ccea853b5a374639671f56817f1d491d/main.pdf,WMES Simi Valley Offtake Agreement,WMES Simi Valley,Power and Renewables,Energy Storage,Power Purchase Agreement,WM ENERGY SOLUTIONS,Seller,2002-12-20
6489,5/7b3c4f96abd1c23b9ad36702485afe74/main.pdf,Blakes Landing Offtake Agreement,Blakes Landing,Biomass,Waste to Energy,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2010-08-23
7155,5/b47ca4de59f0afae897d3d2b004203c9/82505.pdf,Mega Renewables Silver Springs Offtake Agreement,Mega Renewables Silver Springs,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,1984-11-13
6734,5/d6961678357c88d34abf83ee21256a7c/main.pdf,Amylin Pharmaceuticals Amendment 1,Amylin Pharmaceuticals,Power and Renewables,Petroleum Coke-Fired Power Plant,Energy Services Agreement,"Amylin Pharmaceuticals, Inc.",Customer,2009-08-09
8776,5/fc396cae22e499e0029667f058d29b08/main.pdf,"The People Of Zodua Section, Vai Konneh Clan Liberia Timber Private Use Permit ","The People Of Zodua Section, Vai Konneh Clan Liberia Timber Private Use Permit",Timber,Teak,Private Use Permit,Forestry Development Authority,Authority,2011-01-10
8814,5/34e65d4201d8532c76ff522a48dc1c41/main.pdf,Highland African Mining Company Mozambique Metals Concession ,Highland African Mining Company Mozambique Metals Concession,Metals,Nickel,MINERAL EXPLORATION AGREEMENT,"HIGHLAND AFRICAN MINING COMPANY, LDA.",Concessionaire,2002-12-23
8404,5/851b9dc3c413db74579c5adc5b4e9d1b/main.pdf,Xtra Gold Mining Limited Ghana Metals Concession ,Xtra Gold Mining Limited Ghana Metals Concession,Metals,Zinc,Mining Contract,Xtra Gold Mining Limited,Company,2011-01-06
6596,5/e7ed98dc59a8a67eb9aaf258335dfd48/main.pdf,Santa Fe Irrigation Offtake Agreement,Santa Fe Irrigation,Power and Renewables,Biomass,Power Purchase Agreement,SANTA FE IRRIGATION DISTRICT,Seller,1985-01-27
6725,5/8df7c3facea7685c95408d64fe298361/main.pdf,Sand Drag Offtake Agreement,Sand Drag,Power and Renewables,Thermal,Power Purchase Agreement,PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2009-12-24
7006,5/f03306fd72f7f1a255e0a01fa4a5ff56/main.pdf,Military Pass Road Offtake Agreement,Military Pass Road,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2006-02-23
6591,5/a84e031bf92e0d873280cb9c53ce08a0/main.pdf,Ponderosa Bailey Creek Offtake Agreement,Ponderosa Bailey Creek,Hydropower,Dam,Power Purchase Agreement,13 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
6932,5/7d74276d0a23cb809fa9c20c595dc01a/main.pdf,Sanford-Burnham Medical Research Institute I Offtake Agreement,Sanford-Burnham Medical Research Institute I,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,San Diego Gas & Electric Company,Buyer,2011-01-28
7370,5/3949e0a3505dfc285751ab9255c98702/54675.pdf,Dixie-Escalante Rural Electric Amendment 2,Dixie-Escalante Rural Electric,Power and Renewables,Hydropower,Power Purchase Agreement,"FLOWELL ELECTRIC ASSOCIATION, INC.",Seller,2020-10-07
7315,5/1b32cb11cc207cd551eae05bca20a3f1/60782.pdf,Alverno Offtake Agreement,Alverno,Power and Renewables,Wind,Power Purchase Agreement,"BLACK INK ENERGY, LLC",Seller,2019-12-15
6436,5/2c2ab84b6d46d7b74abc3542cfda9192/main.pdf,Horseshoe Bend Offtake Agreement 1,Horseshoe Bend,Power and Renewables,Nuclear,Power Purchase and Sale Agreement,12 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,2008-08-14
6529,5/4393333d3e24a9bebd7c1c69c93c6ea6/main.pdf,David O Harde Offtake Agreement,David O Harde,Hydropower,Run of the River,Power Purchase Agreement,David O. Harde,Seller,1986-05-04
6846,5/1420a6a82f6ce0046507d94ff31745b1/main.pdf,BuenaVista Offtake Agreement Cover sheet,BuenaVista,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,"Buena Vista Energy, LLC",Seller,2005-03-31
6700,5/cf37491765f2bf84f3f10a0be1e7b588/93943.PDF,SPS Corcoran West Offtake Agreement,SPS Corcoran West,Power and Renewables,Energy Storage,Power Purchase and Sale Agreement,10 Southern California Edison Company,Buyer,2011-02-10
7284,5/56dde843804b33e0c03424f034285bdb/58185.pdf,Chena Facilities Amendment 1,Chena Facilities,Power and Renewables,Wind,Power Purchase Agreement,"AURORA ENERGY, LLC",Seller,2006-02-26
6769,5/a20eea9a83f0d7589d3e9e455d47c86f/main.pdf,Wilco Investments Offtake Agreement,Wilco Investments,Power and Renewables,Coal Fired Power Plant,Commissioning Completion Notice,"Wilco Invesrments, LLC",Landlord,2010-07-06
6976,5/cbec83a0d46419e46ce6997fa204d941/12826.pdf,Forks of Butte Hydro Project Offtake Agreement,Forks of Butte Hydro Project,Hydropower,Dam,Power Purchase Agreement,ENERGY GROWTH GROUP AND ENERGY GROWTH PARTNERSHIP,Seller,1984-05-07
6455,5/6ab874bf0dc66aa84af4946a93336cc9/main.pdf,SFWP Sly Creek Kelly Ridge Offtake Agreement,SFWP Sly Creek Kelly Ridge,Power and Renewables,Cogen,Power Purchase Agreement,South Feather Water and Power Agency,Seller,2009-04-27
6914,5/c9c8a3ae85e89054531ae0190a6e9993/main.pdf,Thermal Energy Dev Corp Amendment 7,Thermal Energy Dev Corp,Power and Renewables,Coal-Fired Power Plant,Amendment (Project),PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2015-02-26
8183,5/4d05d2b8a258e57a36ac016a91cde7d0/main.pdf,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement ,Sociedad Portuaria El Cayao S A E S P Colombia Midstream International Leasing Agreement,Midstream,FSRU,International Leasing Agreement,Sacyr Industrial S.L.,Contractor,2014-10-31
6874,5/34a88b74fed9fac9a2abd6f779aac6c9/main.pdf,Pinyon Pines I Amendment 1,Pinyon Pines I,Power and Renewables,Cogen,Interconnection Agreement ,"ALTA WIND X, LLC",Customer,2011-12-22
8392,5/b24cfc05c2cd9266836c109ebba80c43/main.pdf,Nsuta Gold Mone Ltd Ghana Metals Concession ,Nsuta Gold Mone Ltd Ghana Metals Concession,Metals,Alumina,Mining Lease,NSUTA GOLD MINING LTD,Contractor,2008-06-27
6958,5/8735ea0105f3faf5be601e74e9bda200/main.pdf,CTVPower Offtake Agreement,CTVPower,Power and Renewables,Generation,Power Purchase Agreement,13 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,1985-04-11
6434,5/b8a87bc6935c3be9bf345ed709538f36/main.pdf,Eric and Debbie Wattenburg Amendment 4,Eric and Debbie Wattenburg,Power and Renewables,Generation,Power Purchase Agreement,"GANSNER POWER AND WATER, INC.",Seller,2001-07-30
8763,5/7ea55ce84b95b2d7bb94dc193c4a5494/main.pdf,Geetroh Community Forest Management Organization Liberia Timber Private Use Permit ,Geetroh Community Forest Management Organization Liberia Timber Private Use Permit,Timber,Acacia,Private Use Permit,Forestry Development Authority,Authority,2010-04-23
7624,5/6ab874bf0dc66aa84af4946a93336cc9/49652.pdf,SFWP Sly Creek Kelly Ridge Project Agreement,SFWP Sly Creek Kelly Ridge,Power and Renewables,Cogen,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2009-04-28
8775,5/b08426b02b3275d37b3c839920a2ec5f/main.pdf,"The People Of Zleh Town, Gbao Administrative District Liberia Timber Private Use Permit ","The People Of Zleh Town, Gbao Administrative District Liberia Timber Private Use Permit",Timber,Acacia,Private Use Permit,Forestry Development Authority,Authority,2011-06-03
7286,5/1a6f7918a7826b96c8cbb3947c9e900c/28768.pdf,Chena Facilities Offtake Agreement,Chena Facilities,Power and Renewables,Diesel-Fired Power Plant,Amendment (Project),REGULATORY COMMISSION OF ALASKA,Regulator,2006-02-28
6583,5/8911dff7991cdcbdad4b0ecadf8270fb/main.pdf,Shamrock Utilities Cedar Flat Amendment 3,Shamrock Utilities Cedar Flat,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2001-07-30
8759,5/07c9d7900d6a9e70e5fd99bba967edd4/main.pdf,The People Of Dugbeh River District 1D Liberia Timber Private Use Permit ,The People Of Dugbeh River District 1D Liberia Timber Private Use Permit,Timber,Logging,Private Use Permit,Forestry Development Authority,Authority,2011-10-08
9216,5/5b10c48f992f69d9467533c5815fa9ab/main.pdf,Chambishi Metals Plc Zambia Metals Concession ,Chambishi Metals Plc Zambia Metals Concession,Metals,Silver,Development Agreement,KPMG,Company,
7285,5/7cb734bb35189427e7a1e729acdc4011/06282.pdf,Chugach Offtake Agreement,Chugach,Power and Renewables,Solar,Power Purchase Agreement,REGULATORY COMMISSION OF ALASKA,Regulator,1999-02-24
8024,5/87c0b9d47d2012f05e750e6a96a94823/main.pdf,British Columbia Hospital/Hospice Project Report ,British Columbia Hospital/Hospice Project Report,Hospital/Hospice,Nursing Home,Project Agreement,Plenary Group,Equity Provider,2018-11-14
6927,5/b02c5031fa28f9db98f53e6ccbefa26d/main.pdf,Waste Management RE Amendment 1,Waste Management RE,Power and Renewables,Biomass,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Seller,2001-07-30
7378,5/59921a8d22fed0696863d69faa7bda43/72424.pdf,Black Hills Amendment 3,Black Hills,Power and Renewables,Cogen,Power Purchase Agreement,"Black Hills/Colorado Electric Utitlity Company, L.P.",Buyer,
6846,5/1420a6a82f6ce0046507d94ff31745b1/main.pdf,BuenaVista Offtake Agreement Cover sheet,BuenaVista,Power and Renewables,Biomass,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,2005-03-31
6422,5/dc1d3b572b3a24ca7db46a0c7a861ce1/main.pdf,James Crane Offtake Agreement,James Crane,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
6583,5/8911dff7991cdcbdad4b0ecadf8270fb/main.pdf,Shamrock Utilities Cedar Flat Amendment 3,Shamrock Utilities Cedar Flat,Power and Renewables,Geothermal,Power Purchase Agreement,CEDAR FLATS,Seller,2001-07-30
7283,5/dcc431274be619e12248e0c0b937a49d/98174.PDF,Sky River Offtake Agreement,Sky River,Power and Renewables,Solar,Power Purchase Agreement,ESI VG Limited Partnership,PPA Seller,2003-01-29
6715,5/9a578af74429033438d542571feacff7/main.pdf,North Sky River Energy Center Offtake Agreement,North Sky River Energy Center,Power and Renewables,Gas-Fired Power Plant,Amendment (Project),Pacific Gas and Electric Company,Buyer,2017-03-21
6416,5/970c734670f97aa4af95b5d5333f1c95/main.pdf,Yolo County Grassland 6 Offtake Agreement,Yolo County Grassland 7 ,Power and Renewables,Hydropower,Power Purchase Agreement,Yolo County,Seller,2013-06-30
6841,5/39d0cd0020f35b347690f63df69c2ce4/main.pdf,Nevada Irrigation District Bowman Amendment 1,Nevada Irrigation District Bowman,Power and Renewables,Gas-Fired Power Plant,Amendment (Project),NEVADA POWER AUTHORITY,Seller,2001-06-13
6899,5/b83f7a23cb709adff6e989aa86172c4d/main.pdf,Canal Creek Offtake Agreement,Canal Creek,Power and Renewables,Gas-Fired Power Plant,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,1985-05-06
6725,5/8df7c3facea7685c95408d64fe298361/main.pdf,Sand Drag Offtake Agreement,Sand Drag,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,Sand Drag LLC,Seller,2009-12-24
6435,5/6808c4909b7bd6fb05f200889b088fd5/main.pdf,Eric and Debbie Wattenburg Amendment 2,Eric and Debbie Wattenburg,Power and Renewables,Solar,Power Purchase Agreement,Eric and Debbie Wattenburg,Seller,2006-01-17
7621,5/14b56bb238a5aa3ef5a587d505e3a8a3/95186.pdf,Wadham ,Wadham,Power and Renewables,Solar,Power Purchase and Sale Agreement,Pacific Gas and Electric Company,Buyer,2008-02-12
7822,5/ecc09f1823d3112897fea063db30afe1/main.pdf,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession ,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession,Crops,Cassava,Concession Agreement,"The Ministry of Agriculture, Forestry and Fisheries",Concessioning Authority,2006-08-01
9216,5/5b10c48f992f69d9467533c5815fa9ab/main.pdf,Chambishi Metals Plc Zambia Metals Concession ,Chambishi Metals Plc Zambia Metals Concession,Metals,Bertholethia Excellsa,Development Agreement,KPMG,Company,
7822,5/ecc09f1823d3112897fea063db30afe1/main.pdf,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession ,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession,Crops,Food Crops,Concession Agreement,Koh Kong Sugar Industry Company Limited,Concessionaire,2006-08-01
6715,5/9a578af74429033438d542571feacff7/main.pdf,North Sky River Energy Center Offtake Agreement,North Sky River Energy Center,Power and Renewables,Geothermal,Amendment (Project),NORTH SKY RIVER ENERGY LLC,Seller,2017-03-21
7283,5/dcc431274be619e12248e0c0b937a49d/98174.PDF,Sky River Offtake Agreement,Sky River,Power and Renewables,Gas-Fired Power Plant,Power Purchase Agreement,ESI VG Limited Partnership,PPA Seller,2003-01-29
7090,5/d921f2fd7400a7e95343b33015a11014/76174.pdf,Snow Mountain Hydro Lost Creek 2 Offtake Agreement,Snow Mountain Hydro Lost Creek 2,Hydropower,Dam,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2009-12-18
6721,5/6c88a1adc5df158f9d1fa66f487ca455/main.pdf,Humboldt Bay MWD Amendment 1,Humboldt Bay MWD,Power and Renewables,Gas-Fired Power Plant,Amendment (Project),HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,2001-07-30
7371,5/fca1dcc27b6e3e05720cb3e146a318f1/46423.pdf,Dixie-Escalante Rural Electric Amendment 3,Dixie-Escalante Rural Electric,Power and Renewables,Diesel-Fired Power Plant,Project Agreement,Red Rock Funding LLC,Subsidiary of the borrower,2017-12-30
6581,5/d09ea736d23a82656f7ac05f673ea108/main.pdf,Shamrock Utilities Cedar Flat Amendment 1,Shamrock Utilities Cedar Flat,Power and Renewables,Energy Storage,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2011-08-01
8941,5/56e01432a7988b7eca2c84a51d20f538/main.pdf,London Mining Company Limited Sierra Leone Metals Concession ,London Mining Company Limited Sierra Leone Metals Concession,Metals,Silver,Mining Lease Agreement,London Mining Company Limited,Lessee,2012-02-26
7034,5/62e8fc19e202ef07c5bde5a7963617b7/main.pdf,Swiss America Amendment 1,Swiss America,Power and Renewables,Biomass,Power Purchase Agreement,13 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1981-10-26
6415,5/ee6f5018121b7a2080f013f493c56d6a/main.pdf,Sol Orchard 22 Valley Center 1 Amendment 2,Sol Orchard 22 Valley Center 1,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,Sol Orchard San Diego 22 LLC,Seller,2012-07-04
6899,5/b83f7a23cb709adff6e989aa86172c4d/main.pdf,Canal Creek Offtake Agreement,Canal Creek,Power and Renewables,Energy Storage,Power Purchase Agreement,MERCED IRRIGATION DISTRICT,Seller,1985-05-06
6791,5/6db0e530a8f6cbdd412361fa62d11b62/main.pdf,SPI Sonora Offtake Agreement,SPI Sonora,Power and Renewables,Cogen,Interconnection Agreement ,"SIERRA PACIFIC INDUSTRIES, INC.",Customer,2017-07-14
6416,5/970c734670f97aa4af95b5d5333f1c95/main.pdf,Yolo County Grassland 6 Offtake Agreement,Yolo County Grassland 7 ,Power and Renewables,Wind,Power Purchase Agreement,16 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2013-06-30
7014,5/64950f913bdd02b93917b658c4bda150/main.pdf,Combie North Offtake Agreement,Combie North,Hydropower,Dam,Power Purchase Agreement,NEVADA IRRIGATION DISTRICT ,Seller,2009-05-26
6720,5/5beb10e4048efda3b07d64ae9a11a360/main.pdf,Humboldt Bay MWD Offtake Agreement,Humboldt Bay MWD,Power and Renewables,Thermal,Power Purchase Agreement,HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,1985-07-25
6831,5/d2591dabc6ce2dbfa1b5f85b51da1831/main.pdf,Dinuba Energy Facility Amendment 1,Dinuba Energy Facility,Power and Renewables,Biomass,Amendment (Project),PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2006-09-14
6777,5/63a139496ac79ded92756c2634feb2c1/main.pdf,Solano Irrigation District IDWA Offtake Agreement,Solano Irrigation District IDWA,Power and Renewables,Energy Storage,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY,Buyer,1981-08-31
8760,5/6bc47853521a2dc9ebe3cb9371314cc6/main.pdf,The People Of Foya District Fd Liberia Timber Private Use Permit ,The People Of Foya District Fd Liberia Timber Private Use Permit,Timber,Teak,Private Use Permit,"People of Foya Adminstrative District, Gbarpolu County",Owner,2011-12-18
6958,5/8735ea0105f3faf5be601e74e9bda200/main.pdf,CTVPower Offtake Agreement,CTVPower,Power and Renewables,Thermal,Power Purchase Agreement,Energy Capital Corporation,Seller,1985-04-11
7170,5/eef9275c58099245cfaf1839f34bb7e9/main.pdf,Difwind Farms Limited V Offtake Agreement,Difwind Farms Limited V,Power and Renewables,Solar,Power Purchase Agreement,DifWind Farms Limited V,Seller,2018-01-15
6448,5/14b56bb238a5aa3ef5a587d505e3a8a3/main.pdf,Wadham Offtake Agreement,Wadham,Power and Renewables,Hydropower,Power Purchase and Sale Agreement,Wadham Energy L.P.,Seller,2008-02-12
6507,5/c929ec290a272bd166610c7b7b59dc59/main.pdf,Wheelabrator Lassen Offtake Agreement,Wheelabrator Lassen,Biomass,Wood/Waste Biomass,Power Purchase Agreement,Valley Power Associates,Seller,1984-10-22
6487,5/72741e3f2d595c16f52c3d09e4b05dc3/main.pdf,Three Forks Water Power Project Offtake Agreement,Three Forks Water Power Project,Hydropower,Run of the River,Power Purchase Agreement,Norman Ross Burgess,Seller,2010-08-23
6909,5/fbfd82f2c04c4b3152d1dc9c3e8494bb/89132.pdf,Thermal Energy Dev Corp Amendment 3,Thermal Energy Dev Corp,Power and Renewables,Solar,Power Purchase Agreement,"Thermal Energy Development Partnership, LP",Seller,2011-09-21
8760,5/6bc47853521a2dc9ebe3cb9371314cc6/main.pdf,The People Of Foya District Fd Liberia Timber Private Use Permit ,The People Of Foya District Fd Liberia Timber Private Use Permit,Timber,Bamboo,Private Use Permit,"People of Foya Adminstrative District, Gbarpolu County",Owner,2011-12-18
